sentence,label
Security is a.,1
"The mall is part of the Baltic Pearl development project in the city of St Petersburg , where Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing homes for 35,000 people .",1
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",1
"The cost of the deal 70 million 90 million the financial of the companies in 2008, the statement.",1
"Most popular paper far Kesko ' magazine 2, 462, 000.",1
International and the result January - 2010 begin at 14. 00.,1
"Order includes a line, peeling and line the of base for Plyfa ' s Hassela mill, central Sweden.",1
"The covers a lot of 46, 763 m and of 19, 631 sq m. Since the of 2007, Scanfil discontinued its operations in Oulu, the facilities have partly to other parties.",1
This PC application allows users to copy files and other data from their Nokia mobile device to their computer as well as create backup content .,1
"The Annual General Meeting that the remuneration for the of the Board of Directors shall 40. 000 for the Chairman of the Board, EUR 30. 000 for the Deputy of the Board and EUR 20. 000 of the Board.",1
Trade is the 26 2008.,1
"The orders are for 26 machine-room-less KONE MonoSpace elevators , which would be installed during 2006 .",1
Competition authorities will have to approve the deal before it can be finalized .,1
"The decision of the French Court relates to the claims raised by twenty-one former Aspocomp S.A.S employees , the company said .",1
"Grew 2 580 $ 743, 569.",2
Is the of 2011.,1
"Finland ' s Nokian and ' s an agreement a plant in to car tires, Ordabasy Dinmukhamet Idrisov said at a press conference.",2
The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,2
Navigation device Benefon is its to GeoSentric net sales of 1. 1 the second quarter of 2007.,1
"OMEO (. omeo.) 55 and of some 23 ($ 29. 8) fiscal 2006 - 2007, ending April 30, 2007.",1
Finnish sports maker Amer Sports Oyj (HEL: AMEAS) that its to EUR 16. 9 million (USD 22. 3 m) in the second of 2010 23. 2 in the corresponding period a year earlier.,2
Profit 16. 7% 7. 7.,2
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,0
"Investments span product and investment, retail, hospitality, , and residential, in real - portfolios, - performing and corporate restructurings.",1
We are very proud to be able to use this kind of innovative mobile service for voting in elections .,2
"In 1946, Strand, which provides civil, ,, and engineering services, 350 employees at 10 offices in Wisconsin, Alabama, Illinois, Indiana, and.",1
"The iTunes-based material will be accessible on Windows-based or Macintosh computers and transferable to portable devices , including Apple 's iPods .",2
"The reporting period, North partner announced positive results with nalmefene a Phase 2 trial smoking cessation.",2
Raute it an order worth around 15 eur supply several plywood lines to mills operated by wood company.,2
"With the acquisition , the company will expand its offering to North , Central and South America , it said .",2
Versions require 24 - 48 hours is customized to the controls and.,1
"Announced a ` ` solutions unit ' ' to - operation, and shifted Simonson finance to - in October.",1
"Samsung and lost the, by 1. 8% to an 11. 1%.",0
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,1
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,1
Revenue grew 1 percent to euro742 .2 million US$ 964 million from euro735 million .,2
In the of 2009.,2
Analysts surveyed by Thomson Financial expected revenue of $ 69 million for the quarter .,1
A ABOVE the -.,1
"Currently 750 and 1, 000 end of 2007.",2
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",2
"In the, fell by 40. 2% , and in, 23. 2% of, and 10. 7% in terms of local.",0
"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",2
Espoon kaupunki awarded contracts for personal care products .,2
"Huhtamaki 's rigid plastic consumer goods operations , which are mainly in Europe , will be separated into a new reporting segment as of 1 January 2009 .",1
Finnish the start of cooperation in Latin.,2
Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,2
Sales rose to 300.9 mln eur compared with last year 's 276.1 mln eur and in line with 299 mln eur consensus figure .,2
Bosse added that Trygvesta does not have the financial strength to acquire the entire unit .,0
2005 ' 2. 3.,1
Olli-Pekka Laine has been appointed as the Chairman and Erkki Pehu-Lehtonen as the Vice Chairman of the Board .,1
"` of logistics construction, competence project management and also has the best in of frame production and installation, ' says Onodi Stefan, General Manager of Arxikon Company SRL, which is ' s.",2
Sales 6.,0
"Establishment, the is 20.",1
"Bank holds 6. 000 Media, 0. 008% of capital and.",1
